Username,Image,Date,Review,Vote
MrClone,https://avatars.akamai.steamstatic.com/630e5dc9ecdae2800fdd5228bc32272cbd7c53cd.jpg,10 กุมภาพันธ์ 2023,"
				โพสต์: 10 กุมภาพันธ์
																müqo			",+
未见相逢,https://avatars.akamai.steamstatic.com/5c2f7ef5b83f9b9e1262ee49bd7d57f59b287a28.jpg,10 กุมภาพันธ์ 2023,"
				โพสต์: 10 กุมภาพันธ์
																1			",+
УБИЙЦА БОМЖЕЙ,https://avatars.akamai.steamstatic.com/8f30a2d192bcf0a37197196b319c7f41bb4e7e9f.jpg,10 กุมภาพันธ์ 2023,"
				โพสต์: 10 กุมภาพันธ์
																ваще 10/10			",+
Death,https://avatars.akamai.steamstatic.com/7b078cf3056595baf53d3275748efaa5c4ca88d3.jpg,10 กุมภาพันธ์ 2023,"
				โพสต์: 10 กุมภาพันธ์
																eze			",+
MR_KNV,https://avatars.akamai.steamstatic.com/56e87f5f6a29976dd106030748cb74caf7dda0ff.jpg,10 กุมภาพันธ์ 2023,"
				โพสต์: 10 กุมภาพันธ์
																фигня полнейшая			",+
what's wrong scared? eyvandex,https://avatars.akamai.steamstatic.com/2b99d9b93734e1463e04ed68ff049f572d1a1740.jpg,10 กุมภาพันธ์ 2023,"
				โพสต์: 10 กุมภาพันธ์
																тщкь			",+
★xUmbreon★,https://avatars.akamai.steamstatic.com/026c0355ac57fd8a8b859b871dfa6749918ef30f.jpg,10 กุมภาพันธ์ 2023,"
				โพสต์: 10 กุมภาพันธ์
																super graapolecam			",+
Tima4ik,https://avatars.akamai.steamstatic.com/6337567810733cccadc5182a581757c0e4c19600.jpg,10 กุมภาพันธ์ 2023,"
				โพสต์: 10 กุมภาพันธ์
																 топ  			",+
Vendetta,https://avatars.akamai.steamstatic.com/1fa9763a3142205a634afd1b6cb5dc5a017dee6b.jpg,10 กุมภาพันธ์ 2023,"
				โพสต์: 10 กุมภาพันธ์
																Помойка с неработающими репортами и кучей читеров			",-
MISTY,https://avatars.akamai.steamstatic.com/b0a1ef8fa9ddc20fe82b3a39e2400227be7a6429.jpg,10 กุมภาพันธ์ 2023,"
				โพสต์: 10 กุมภาพันธ์
																Боже, столько злых и обиженных на жизнь поляков я не видел никогда в жизни..			",+
ЧЕРЕЗ НЕ МОЖУ,https://avatars.akamai.steamstatic.com/b66ac884a2a3136119d09ec19d021f12559d10d9.jpg,10 กุมภาพันธ์ 2023,"
				โพสต์: 10 กุมภาพันธ์
																Топчег			",+
mr. durenь,https://avatars.akamai.steamstatic.com/c9c3b42aa63200a1f53efe39203d83949d8ea970.jpg,10 กุมภาพันธ์ 2023,"
				โพสต์: 10 กุมภาพันธ์
																тупая игра, но лайк			",+
Malin2003,https://avatars.akamai.steamstatic.com/16dcec7ffa6a5e3f1e2faa16cb6e4bd3605194c3.jpg,10 กุมภาพันธ์ 2023,"
				โพสต์: 10 กุมภาพันธ์
																super gra			",+
𝐃𝐫.𝐌𝐚𝐱,https://avatars.akamai.steamstatic.com/e3ec27f2f100139898a64d58c398740b06c4562e.jpg,10 กุมภาพันธ์ 2023,"
				โพสต์: 10 กุมภาพันธ์
																awesome game!!			",+
wise fat man,https://avatars.akamai.steamstatic.com/8933b104947fab2dd7a56f318ffbe6769dbe3f91.jpg,10 กุมภาพันธ์ 2023,"
				โพสต์: 10 กุมภาพันธ์
																great game, but u gotta make it fun for urself			",+
N1lan,https://avatars.akamai.steamstatic.com/b39f84de7899045644eb0b35cb591c421eb83bf7.jpg,10 กุมภาพันธ์ 2023,"
				โพสต์: 10 กุมภาพันธ์
																Отличная игра!			",+
silentov,https://avatars.akamai.steamstatic.com/6558c72bfad27cb2b09ade369dd9084dd13d5e22.jpg,10 กุมภาพันธ์ 2023,"
				โพสต์: 10 กุมภาพันธ์
									ผลิตภัณฑ์ได้รับมาฟรี
																норм стрелялка пиупиу			",+
Broken Psycho,https://avatars.akamai.steamstatic.com/06a4f0c4bb4287e7dd78cd509a45c5ff2f2ea4d2.jpg,10 กุมภาพันธ์ 2023,"
				โพสต์: 10 กุมภาพันธ์
																good			",+
Сделан в СССР,https://avatars.akamai.steamstatic.com/8a3d3f51de8fc89ed4b205f97111a923a6c34c83.jpg,10 กุมภาพันธ์ 2023,"
				โพสต์: 10 กุมภาพันธ์
																ТОП ИГРА			",+
MiYaGikrut 240h/peek,https://avatars.akamai.steamstatic.com/302bf6e5254b1576138c3da9b133cc41861f837d.jpg,10 กุมภาพันธ์ 2023,"
				โพสต์: 10 กุมภาพันธ์
																юэ			",+
